protein1	protein2
AKTIP	TIMM50
VCP	DERL1
ELAVL1	APOBEC3C
ARRB2	RPS6
CDKN1A	HSPA1A
TRIP6	HGS
HGS	MYO5A
TLR3	MAP2K6
GOLT1B	HTRA1
TP73	RACK1
MAP3K3	HIST1H4F
BCL11A	HDAC1
NCOA2	VDR
RAF1	RFXANK
MAPK3	CAPN2
POLD3	RPA1
CUL3	DCTN2
NSD2	APP
UPF1	UPF2
ACVR1B	SMAD7
CUL1	ILK
SLC9A1	RPS6KA5
SYNCRIP	PRPF6
TAF4	ANAPC1
CDK6	KIF26B
EIF2AK2	CASP8
TADA2A	HDAC1
HDAC2	RLIM
XPO7	ILK
IGF2BP1	PHB
SLU7	THOC5
IKBKE	TANK
MDM4	CDKN1A
PRKCA	RAF1
HCLS1	IKBKG
IPO5	WASL
PIKFYVE	APP
GLP1R	CD81
SHC1	SP1
DNMT3B	KMT5A
EP300	SMAD1
RBBP7	ACTL6A
RBFOX2	MBNL1
TAF9	RELA
IGF2BP1	DHX9
TUBG1	SAMHD1
PABPC1	YBX1
PTBP1	RAB2A
TRRAP	MED1
GRB2	BAD
TOMM22	EHD1
AR	KIFAP3
GRB2	DNAJA3
PLOD3	EHMT2
DHX9	SRSF9
MYBBP1A	RPS3A
NR3C1	CREB1
EGFR	EPS8
DYNLT1	SUMO3
OBSL1	ENO1
CPSF6	PRPF19
STUB1	CFTR
AHI1	PPP2CA
CARD8	HDAC3
ITGA6	PCSK5
FOS	MAF
BAP1	IPO5
MYC	FOXP1
MYBBP1A	APP
XPO1	TJP1
EP300	FOS
MCM2	PTGES3
RPA2	CUL1
HUWE1	BUB3
NDRG1	VCP
EP300	JMY
LCAT	PLA2G6
PARP1	POLE
GSK3B	FOXO1
NEDD4L	CDK5
CSNK2A1	PIK3R1
EPAS1	SMARCC1
TBXA2R	RAB11A
SPRY2	FBN1
UBE2I	HNRNPU
RYBP	WDR5
RPS6KA4	CREB1
NKX3-2	RBBP4
HINFP	JUND
TNIK	IKBKB
CAND1	ERAL1
BRCA1	HNRNPA1
NSD2	NSD2
ELAVL1	SRSF6
ULK2	POLA2
CDK6	SRSF1
CDK2	TERF2
PABPC1	TRAF6
RPA1	MCM2
CYP1A2	UGT2B4
LGALS3	VIM
BARD1	KPNB1
HSP90B1	ACADM
DYNLT1	DYNLT1
PLCB1	PLCD1
TAF7	SUPT3H
ELAVL1	TAF12
NAA10	KIFAP3
VHL	JADE1
DAB2	LDLR
APBA1	STXBP1
LCP2	YWHAG
FLNA	RPS6KA5
NPM1	PRKAR1A
AQP9	PRKCZ
PABPC1	NCL
USP28	KDM1A
CRYAB	CC2D1A
ELAVL1	SFPQ
PIAS2	SMAD4
CLN3	ERLIN2
FBXW8	REST
TRAF6	IRF7
WWOX	HNRNPU
SF3A1	RNPS1
MALT1	USP2
EZH2	SDCBP
CBX8	RACK1
FERMT3	PRDX1
CAND1	ELAVL1
RYR2	VCP
HSP90AA1	RPS13
SF3A1	SART1
PABPC1	CRNKL1
NDUFS4	UBE2G2
YWHAE	RUVBL2
SOX6	HDAC1
IGBP1	VPS4B
PHLDA3	SMAP1
DNMT3A	USP7
PRMT6	TP73
FOS	HSP90B1
SMAD4	FOXO1
LIN7A	PIP4K2B
UBE2E3	RING1
MAML1	MAML1
COPS5	CUL3
HNRNPA1	APP
BCL2L11	APP
EGFR	CTNNA1
PRKCE	PIK3CB
E2F4	ID2
ATP5F1B	ATP5PF
NEDD4	SEPTIN9
MAP3K7	DR1
EIF2AK2	PPP1CA
SRPK1	SRPK1
VDR	PPP1CC
ERCC4	CUL4B
DTX2	DTX3
REL	MAP3K14
SYNCRIP	MTOR
SUMO1	TRIM28
FLT1	PLCG2
VCAM1	SRSF9
TP63	TP53
IQCB1	GRB10
ANAPC7	EP300
CUL3	DICER1
PKD1	MARK2
PPARG	NCOA3
MAPRE1	AXIN1
U2AF2	PABPC1
ATXN7	TADA3
INO80	UCHL5
NUMA1	DVL2
ACD	DBNL
CUL1	AGO2
LGR4	THOC2
RAF1	RBBP8
RAB7A	VDAC1
GRB2	KRT18
PRDX1	SOD1
GADD45A	MDM2
DSP	CASP9
HSPA9	IKBKG
FOXE1	CREB1
RFXANK	HTT
PPP2CB	RAF1
ALYREF	NCBP2
ATP5F1A	PHB
RAB4A	CDK1
ERLEC1	TNFRSF1A
HDAC2	PPARD
LATS2	STK3
PARN	XRN1
GNAI2	VIM
UHRF2	LCK
WWOX	DVL3
HSPA5	ASH2L
TSG101	YBX1
PDPK1	PTPN12
MKS1	TMEM67
GSK3B	YBX1
NLRP2	HSP90AA1
REL	REL
SMAD3	TGFBR1
CDK2	SLC25A4
SH3RF1	MAP3K11
SGF29	TAF5L
BRCA2	SEM1
YOD1	UBE3A
UBE2H	TRIM23
IKBKG	MYC
MOV10	ETV5
P2RX4	GALNT1
DIAPH1	PKD2
TAL1	RUNX1
ICAM1	RPS13
PIK3R1	TLR2
PRKACA	CCND1
USP7	DBN1
CDC37	MTOR
RHOA	ROCK2
APPL1	TP53
IRF1	HCFC1
TRRAP	SUPT7L
DVL3	HUWE1
CDC37	AHSA1
MID1	PPP2CB
ACAA2	TOMM40
EGFR	TNK2
SART1	TRMT112
SCNN1B	NEDD4L
PABPC1	NCBP1
SRC	FARP2
PATZ1	WWOX
VCAM1	MIF
CHD1	SAFB
HDAC3	TBL1X
SF3B1	NCL
UBE2I	PRKDC
BRCA1	AKT1
RPA2	SF3B1
UCHL5	HIST1H4L
YWHAE	VASP
HES1	HSPA4
HTT	CALM1
XPO1	ITGB1BP1
RACK1	ENO1
PRKCZ	DENND5A
ELAVL1	CIRBP
NEDD4	YES1
PAXIP1	THRAP3
CALM1	TGM2
FBXW11	PPP1CC
RNF103	UBE2E2
GHR	GHR
DEDD	SHMT1
PIN1	TRAF2
TAL1	HDAC2
CUL4B	TXN
CUL3	PPP2CA
UBE2D1	TRAF7
XRCC6	CLU
ZWINT	CCN1
EXOSC3	EXOSC10
LRRK2	MAP2K7
PTEN	ACACA
TCEA1	PAF1
STK4	RAB8A
MED14	ACTN1
ATXN1	TSC1
MAPK14	NR3C1
CDC42	GOLGA5
AKTIP	TSC1
DFFA	PPP5C
INTS3	NABP1
HSPA9	MAP3K7
ADRB2	CALM3
HDAC6	POLA2
PRPF6	HNRNPU
TAF6L	TAF2
MMP7	TCF7L2
MAP2K1	MAP3K1
LYN	SOS2
RAD23A	HUWE1
HNRNPA1	HSPA2
RSPO3	LGR4
APOH	NFE2
UBE3A	EAPP
HSPH1	PRMT3
IGBP1	LGALS3
HGS	ACTN4
HSPB1	PRKCA
THOC2	TPD52
STX2	STX2
MAP3K1	ACTG1
CUL3	PRKDC
NCK1	PIK3CD
HNRNPU	NFKBIA
S100P	EZR
TLE5	EXOSC5
CDC42	RAP1A
DBI	LGALS3
RBM15	THOC7
CAND1	ATXN2
EPAS1	DDIT3
ARHGDIA	ST3GAL4
VHL	MIF
ZDHHC17	STN1
PRKCA	BDKRB2
SIVA1	MDM2
SMARCA4	SRF
FOXRED2	RAB9A
NAE1	MSN
H2AFX	PEF1
ABI2	ZGPAT
HSP90AA1	MINK1
STAT6	WWP1
MSH6	XRCC5
XPO1	IPO9
ZIC1	RBPMS
EGFR	PTPRF
HSP90AA1	IRAK3
FOXM1	FOXO3
MAP3K1	HIST2H4B
PEX14	DHRS4
CEBPB	RUNX1
CYP1B1	PTGS2
BAIAP2	RAC1
CTNNB1	SLC9A3R1
BRCA1	XRCC6
EP300	FOXO3
ELAVL1	ATP2A2
ATG7	UGDH
MAVS	TRAF6
FLNA	BMP2K
MOB1A	DOCK7
VDR	ARID1A
MAPK3	STAB2
UBE2K	SIAH1
MAP3K3	HSPA4
TAL1	EP300
YES1	SOCS3
MAPK3	HIST1H4A
TERF2	CDC37
CSNK2A1	PRNP
BMI1	ACTN1
SP1	MYH14
RBM8A	HBB
PMS2	XPO1
SHMT1	HIST1H4A
RASSF1	STK3
TSC1	VEZF1
LAMB1	NQO1
HTT	UBQLN1
HNRNPA1	XRCC6
TENT4B	NUMA1
SYVN1	ERN1
TANK	KRT1
TSG101	SMCHD1
HOXA5	FOXO1
UBE2E2	OTUB1
ACIN1	RBM15
PRKCD	PRKCD
ARHGEF2	RAC1
PCID2	UBE4B
DLG4	MAP3K10
MLH1	PRKDC
VAV2	RAD23A
NR3C1	RAD9A
PPARGC1A	NR5A2
MAPK8	STAB2
XRN1	PSMB5
SOX6	SUMO2
MLH1	ATM
XPO1	RING1
CSNK2A1	AKT1
MAP3K3	PFKL
MAPK8	APLP2
NEDD4	ASPSCR1
HSP90B1	ERBB2
VCAM1	SYK
SMAD3	USP9X
PCM1	WDR83
HNRNPA1	YARS2
MCC	ACOT13
SMC1A	HLTF
LUC7L3	TRA2B
NFKBIA	NFKB1
BTG2	CUL1
RUVBL2	URI1
SUZ12	ALYREF
NENF	JUP
MOV10	RPTOR
ELAVL1	DAG1
MMP9	MMP9
PRKCB	PTPN12
IKBKB	TSC1
SOS1	SORBS1
UHRF2	BCAR1
LMNA	MRE11
KRT18	HNRNPU
BMPR1A	FKBP1B
DSTN	ITGB1
SRPK2	TXN
ANXA11	STX12
LAMTOR3	NDUFB4
SMAD4	CEBPB
EIF4A3	RPS6
ATM	HSPA8
CDC34	ATF5
KAT2B	SMARCB1
TERF2	U2AF2
SCAP	SREBF1
MOV10	SMARCC2
CDT1	MCM6
DMAP1	MYC
SUPT3H	TAF12
UBE2G2	UBE3A
HSP90AA1	HSPA4
PTEN	CCNE2
GSK3B	MAP3K11
MIF	IKBKE
TRIP6	TPM4
IKBKG	NFKBIA
CUL4A	CUL4B
SIAH2	RBBP8
SNCA	NCBP1
BRD4	PIK3R1
TRAF5	TRAF3
AGO4	HSPA5
RB1CC1	SYN1
SPHK1	PPM1G
FOXP1	CHD1L
YY1	SP1
MOV10	CDKN2A
PMS2	CYLD
MCM7	PINX1
UBE2E3	RNF2
HSPA9	NFKBIA
RIPK2	TNFRSF1A
EHD3	EHD3
KPNA6	BRCA1
FGFR1	CDH1
UBA2	SAE1
SH3GLB1	RIC8A
KMT5A	HIST1H4I
ZDHHC7	6-Mar
DBN1	SPTBN1
EHMT2	SETDB1
PPARG	CCDC88A
SERPINH1	TP53
FOSL2	JUN
MAPK1	WDR83
IPO11	EIF4A3
CFTR	SPTLC1
ADD2	PRKCA
SKIL	SIN3A
NEK1	CTNNAL1
ACOX1	SOD1
PIN1	TFG
BRCA1	MAP3K1
AFG3L2	PHB2
PAK1	PAK1
ORC4	APP
RBFOX2	RBFOX2
TRIM54	USP2
LMNA	THRAP3
NOTCH1	SMARCA4
ARHGEF11	PLXNB2
SAMHD1	SF1
EIF2S1	EIF2AK1
WWOX	EZR
IKBKE	RELA
RGS18	GNAQ
STX1A	BTN2A2
STAT1	SMURF1
KATNA1	USP47
ADRB2	HGS
CUL3	SS18L1
CREB3	RHEB
YWHAE	NCOR2
UPF1	EIF2S2
CASP2	CRADD
SF3B1	THOC5
DDX5	SYN1
RPA2	RNASEH1
RPS19	VHL
MAPK9	SDCBP
IDH1	RCN1
CREB3	DPY30
PSMC2	PSMC3
CDK7	HSD17B4
RUVBL2	EIF6
TANK	BIRC2
NBN	UBE2B
DDIT3	FOSL2
GTF2F1	SMARCD1
USP7	TRAP1
GRB2	PIK3R3
NBR1	NBR1
BAG3	NDUFB4
NCOR1	NFE2L2
TFPT	PAWR
BAZ2A	DNMT3B
ACTG1	TRADD
MAPK3	LYN
BRD7	PTPN13
NASP	MAPK13
ELAVL1	CDK2AP1
ACTR3	SH3GLB1
RBM8A	THOC7
MCM2	ERP44
SKIL	SKIL
APOA1	NR2F2
ZIC1	GLI3
ING4	PRKAR1A
UBE2D4	RNF13
PPP2R1A	TRADD
AKT2	BAX
PEX5	PRDX5
LIN7A	APP
RPS27L	IKBKG
LGALS3	KIF16B
CTR9	COG3
MLH1	RPA1
DNAJA1	MAP3K1
SNW1	HNRNPU
CUL3	PYCR1
RAD23B	DBI
JUN	SKI
ATRX	XRCC6
GRB10	MAPK3
SREBF1	ID2
VCP	RAB3GAP1
SIRT6	TBL1XR1
YAP1	AKT2
PINK1	AKT1
GHR	DUSP7
SF3B1	THOC2
LATS1	XIAP
CDKN1B	TSC1
SMURF2	SKIL
COPS5	RBX1
GSK3B	CLOCK
RPTOR	IKBKB
HRAS	SRC
INO80	MBD3
CFTR	ERLIN2
WWOX	SNRNP200
UBE2V2	RNF2
AKT2	HSP90AB1
CENPE	SEPTIN7
NIPBL	SMC1A
VHL	PARP1
PTK2	DDX39A
UBE2I	UBE2E1
FBXO5	BTRC
XPO1	SNX16
ARHGAP35	RAC1
NCL	RPS3A
UBE2D3	OTUB1
RET	AFAP1L2
GLUD2	GLUD2
SOCS3	APP
JUN	SS18
PYCARD	PYCARD
CTNNB1	COPS5
HNRNPA1	CAPRIN1
PRKCD	NFE2L2
MBD2	PRMT5
ABCA1	PLTP
PSMC4	TRIP6
CD47	BNIP3
TERF2IP	S100P
PCGF2	USP7
CFTR	CDH1
FN1	VAPA
EGFR	AIP
ACTN4	MEF2A
ARHGDIA	FEN1
PSEN2	FHL2
FN1	EZR
UXT	APP
PFDN5	RPA1
MAPRE1	ABLIM1
NCK1	SOCS1
CDC42EP1	TNFRSF1A
VCAM1	ACTN4
MED4	MIB1
USP7	TRAF4
LIMA1	DAPK3
CUL3	HSPH1
RNF2	SUPT5H
DGCR8	HNRNPH1
SRSF10	RPS3
ARRB2	NAA10
XIAP	DTX3
HUWE1	SMAD9
NR3C1	EP300
PRKCA	LMNA
CDC34	CUL3
CUL3	CIRBP
SMC3	SUPT5H
CDK2	PRDX1
ITPKB	PLCE1
NCK1	SEMA7A
HSPA9	HSP90AB1
PTPN3	RNF111
KRT10	SMAD3
NAA10	NCBP1
SNCA	CDK4
RAD17	POLE4
CBX8	TRIB3
PRMT3	XPO7
ABI1	CYFIP1
CHUK	HSP90AB1
SDCBP	TRIM54
MOV10	ISOC2
UBE2R2	YWHAH
PRKCA	EIF4EBP1
ARIH2	PPP2R1A
SNRNP70	THOC7
ADM	CFH
HSD17B2	UGT2B28
NUDT21	PABPC1
HSPB1	ERCC5
SOD1	EIF5A
VCL	NDEL1
CLIP3	CYLD
XRCC5	LIG4
CX3CL1	TP53
NEDD4	KIFC3
HDAC5	PRPF19
SIRT7	RPS6
VHL	FLNA
BTRC	SUZ12
PCNA	NAE1
CSNK2A1	ABCA1
PIM1	RUNX3
TENT4B	MED17
PARP1	ATP5F1A
ATR	MCM2
IGF2BP1	ELAVL1
ARF6	HNRNPM
FBXO6	HIST1H4E
ORC4	MCM2
RAB7A	CHCHD3
RPS13	RPS27L
ARF6	VHL
TRAF6	SPHK1
BRMS1	RBBP4
PPP2R1A	INTS4
SNW1	DDB1
UBE2I	TNFRSF1A
RASGRP4	HRAS
EGFR	SLA2
DBN1	TPM1
NCOR1	CREB1
PRPF19	RBM8A
L3MBTL1	HIST2H4B
KLF5	YAP1
SRPK2	YBX3
CD44	CD74
SMARCD1	SMARCC2
DDX39A	EIF6
YWHAH	PIK3CA
MDM2	HIF1A
RAB6A	GCC2
FOXE1	DSP
TRAF5	NFATC2IP
DFFA	MCC
TGFB1	TGFB1
CAPRIN1	MRE11
PABPC1	XAB2
ARRB2	RAF1
PMS2	PPP2CA
CEP250	ARHGEF2
RPS6KB2	USP9X
RIC8A	APEX1
CDC27	ANAPC13
MERTK	GRB2
SERPINB9	SETDB1
PTK2	PTK2
SMARCC2	MBD2
CDH1	PIP5K1C
ELAVL1	NRIP1
ZDHHC17	SNAP23
PTK2B	PIK3R1
SF1	EIF4A3
MSH2	TP53
HSP90AA1	NCL
NCL	SEPTIN9
OBSL1	GSN
DTX3L	UBE2D2
RNF111	SMAD7
SMARCA4	PBX1
HUWE1	NCL
MDM2	AKT1
HDAC6	XPO1
ENPP2	NMNAT1
ETV5	MYH14
FHL2	A1CF
DISC1	ACTG1
PRKCD	DYNC1H1
CASP8	CASP8
RPA1	NUMA1
SYNCRIP	FGFR1
EHMT2	EHMT2
IGBP1	STAT6
FSTL3	SMAD4
GNAQ	HTR2B
MAP4K2	MAP3K11
CAND1	HSPA1B
RNF2	ELAVL1
HUWE1	SAP30BP
RND1	ID3
NCK2	NCKAP1
HLTF	UBE2N
RAD23B	UBE2N
HNRNPF	RPS15A
GNAI2	YBX1
NFKB2	DNAJA3
DYNLT1	AP3B1
RBX1	UBE2D2
FYN	BCR
FOXO3	BRCA1
SRC	SRF
DHRS2	LCK
SMAD4	SMAD7
KDM1A	SETDB1
HDAC1	CRYAB
RNF11	SNRNP70
EGFR	AP1S1
SMURF2	UXT
EGFR	NSF
ERGIC1	MRPL58
CDK6	TRA2B
ZWINT	BUB1B
ARIH2	ARIH2
PRKG1	TRPC6
ZC3H3	YARS2
RBM14	TRMT112
MED4	UBAP2L
PSME3	PSMB5
ARFGEF1	MAP2K5
ELAVL1	UBA6
SRP54	SMC2
RPS3	PHF5A
PPM1D	ERRFI1
RELA	EZH2
IGF2BP1	GTPBP4
ARAF	ARAF
DDIT4	HUWE1
BAX	CYCS
HDAC2	SS18L1
NEDD4	CBLB
CLK3	TRA2A
HSPA5	HSPH1
NFKBIA	CUL1
CSTB	GSTT1
MYH9	SEPTIN7
HSPA5	IKBKB
SMURF1	CLTC
MRPL58	NDUFS8
EIF4A3	EHMT2
NCOA3	EP300
AGTR1	ARRB2
BCL6	BCL6
CUL3	TRAP1
TERF1	SMARCC2
DHX9	SRPK1
CUL3	SDHA
WDR5	RBBP4
SMURF1	RPS3A
GTF2I	TRIM54
XPO1	BICD2
TRAF3IP2	ELAVL1
PRKCQ	LCK
PDGFRB	PDGFRB
CDKN2A	GSPT1
DIO2	RELA
SPTBN1	SUMO1
GRB2	PCMT1
ZW10	ROCK2
STX1A	CLN6
PPIL2	RBM15
KDM5B	SHOX2
RELA	PPP4C
CLK1	SRSF10
CYLD	MAVS
MCM2	P2RX4
PTEN	AR
MAPK1	TPR
ELAVL1	PAXIP1
UBE2I	ANXA1
MAP1S	GSN
DNM1	NME2
EIF6	POLA2
TANK	CHUK
TNFRSF1A	HIST2H4A
ARRB2	HNRNPA1
HTRA2	TRIM28
DACH1	CREB1
PRKCD	HSPB1
LAMA5	FBLN2
VCAM1	PTBP1
HNRNPA1	NPM1
SPRY2	UBE2D2
DNMT3B	RBBP7
MBIP	SGF29
HDAC5	ATP1A1
CENPJ	DDX54
FBXO6	HUWE1
SIRT7	RBM15
TXNIP	DDIT4
AKT1	CDC42
PCM1	CCNB1
CDH1	HSPA5
GRIK2	GRIK2
GRB2	NASP
FBXW11	SKP1
ADAM17	MAPK1
BMI1	PRKRA
AXIN2	RLIM
BAG3	PSMA2
OBSL1	HSPA9
ELAVL1	CLASP1
BAG3	ATG3
IGBP1	PPP6C
GTF2H3	BRCA1
TRAF2	SPHK1
EED	TFAM
GPS2	EP300
ERLIN1	SYVN1
HNRNPK	SNRNP70
GNAQ	PIK3R1
NEK6	GIGYF1
LAMTOR3	RAB14
5-Mar	UBE2D3
BCL6	MTA2
PTCH1	CHSY1
ATP5F1A	MYH9
CCT5	TP53
SUZ12	PTBP1
TGFBR2	TRAF4
FBXW11	RAPGEF2
ZDHHC17	CCNE2
TARDBP	RUVBL2
UBE2I	TAF5
KAT2A	BRCA1
EMD	MCM6
DAD1	IKBKE
MAP3K3	MYH10
TRAF2	USP2
STUB1	MAP3K14
MOV10	SAP30BP
XPO1	TUBB3
PRMT5	RPS27L
CSNK2A1	RELA
MYLK	PRKCA
CDK7	JUN
RAP1B	RAB7A
JAK2	STAT1
TSC1	RHEB
EIF2A	CUL1
CUL3	DDB1
WIPI2	BNIP3L
SRF	CASP8
PPP2CA	INTS12
RNF2	RCHY1
GAB1	PLCG2
BTRC	APC
SMARCA4	MYOCD
MAPK13	SQSTM1
MDM2	NUMB
YWHAE	HSPA8
ATXN7	PSMC2
SIVA1	BCL2L1
SETDB2	SETDB1
DTX3L	HIST1H4A
AMOT	TP53BP2
BMI1	NDEL1
SIN3A	RBBP5
CFTR	MYO6
WHRN	WHRN
PIK3R1	PIK3R1
FYN	DOK4
CDKN1A	EP300
MAP3K7	MAVS
ACOX1	NUP62
TERF1	RNF40
XPO1	RNF146
CDC42EP2	RHOQ
FEN1	RAD1
PRKDC	PHGDH
RPA2	CELF1
NLRP3	LUC7L3
ACVR1B	RXRA
MSN	BID
HDAC1	BRCA2
TRIM5	PSMC2
AGO1	PABPC1
MAPK8IP2	MAPK13
ELAVL1	UPF1
CUL4A	TUBB
ERBB3	PTK2B
BMI1	RBM14
RPS13	CUL4B
PRPF6	SNRNP70
CAND1	SF3B1
CELF1	AKT1
PLCB1	MACF1
BCOR	RING1
HIPK2	PTCH1
ALDOA	MAPK13
PML	HNRNPU
MAPRE1	CD59
PRKCA	THOC5
NPM1	PRKCB
MAD2L1BP	TP53
MDM2	ATR
ADORA2A	ACTN4
PHB2	USP15
CUL4B	CALM1
RNPS1	PYM1
PAK2	DST
MED14	MED16
CLK2	CLK3
TERF2	SAP30BP
CUL3	TRIM28
EHMT1	DNMT3A
MYC	MEN1
FYN	PAX3
DHX9	SNW1
MOV10	RAB5C
ARF6	NCAPG
ACTN4	ACTN3
VCP	HNRNPH1
BAG3	LITAF
DDX5	RBMX
CDC23	SORBS3
WWTR1	NKX2-1
HDAC2	THRA
CALM2	IKBKG
RARA	TBL1XR1
CUL1	ENO1
FBXO6	AMOT
BRCA1	MYC
FBXO6	STT3A
RTCB	NDRG1
GRB2	TP63
ARRB2	UBR5
GNAQ	SLC9A3R1
NCK2	ARAP1
TSG101	SFPQ
RACGAP1	RAPGEF2
NCOR2	RXRA
MOV10	TRIM16
DLC1	RASA1
SAFB	HNRNPU
NUDT21	ERCC3
CREBBP	CHUK
KRT18	PRKCD
RAB5A	EEA1
SHARPIN	RNF31
TERF1	PLOD1
CARD10	CBX8
STAG2	RBBP7
TADA3	AR
PLCG1	RHOU
LHX3	LDB1
UBE2D4	ARIH2
PPP2R1A	RACK1
ZACN	SOAT1
KMT2A	HIST1H4A
FYN	DTX3
SRSF1	SART1
FN1	HIST1H4K
HTRA2	PEA15
SH3GLB1	MIEF1
RNF2	PHGDH
MAGOH	KRT2
COPS5	HNRNPA1
GRB2	TP53BP2
ELAVL1	ACVR1B
SMARCB1	SMARCB1
NCOA6	KMT2C
ELAVL1	CDK6
CUL4A	RBBP7
TRIM4	TRIM4
PCNA	CYFIP1
RHOG	ELMO2
FN1	PLEC
COTL1	UBE2M
RCAN1	APP
SDHAF2	ELP1
IRAK2	IQCB1
MCM2	HNRNPF
SIRT1	SUZ12
KMT2B	WDR77
LATS2	PPP2R2A
MTDH	PLEC
DBN1	CFL1
ZBTB16	HDAC6
UBE2D1	DTX3
SERPINH1	BAG6
PRDX6	GLO1
COPS5	UBE2H
DDX1	TARDBP
IL6ST	PRKCD
STX5	TNPO3
SEM1	6-Mar
VCP	RBFOX2
XPO1	SIRT2
TP63	YAP1
CDKN1A	ABR
FHOD1	ACTG1
TIRAP	NF1
CLK3	USP9X
VCP	ATG5
MBIP	IQGAP3
CASP3	PLA2G4B
HIF1A	MAPK3
EXOSC4	EIF2S2
TLE5	U2AF2
XRN1	ZC3HAV1
ATF2	YWHAB
USP10	CELF1
HSF4	HGS
DHCR7	RUVBL1
HSPA8	TOMM22
UBE2W	MAP3K1
RPS13	RPS14
MYO10	ACTA1
WWOX	IGF2BP1
ELAVL1	ELAVL1
IBTK	RBX1
MEIS1	CREBBP
PIK3R1	PLCG1
FYN	POLD1
PHB2	IKBKE
APBA3	EGFR
LDB2	TTC19
CLTC	REL
WDR83	RBM8A
IKBIP	TMED4
ELAVL1	TGIF1
SGO1	RB1CC1
CLK1	REV1
MAP3K14	IKBKB
KCNQ1	PRKACA
MAF	USF2
PRKAR1A	SETD7
HSP90AA1	CFTR
IPO5	IPO7
TAL1	TRRAP
BAD	YWHAB
BCL6	JUNB
CAMKK2	SMC3
SKP2	RAD50
PCMT1	CLP1
IRAK1	LMNA
TRIM23	CHCHD3
ZRANB1	BICD2
NBN	MRE11
FOXO4	AKT1
AMOT	UIMC1
TINF2	EHD1
CTNNB1	PTPRG
EXOSC5	PSMA2
MCM2	DNAJA1
SMURF1	CLASP2
ATP5MF	KDM1A
HSPA5	HSP90AB1
PPP1R12A	YWHAG
NR3C1	GSK3B
PPP2R1A	IPO9
FOXM1	SP1
KPNB1	VIM
APEX1	STAT3
PSMC5	MYO18B
SEM1	ATXN2
DTX3	ITSN1
PTK2B	ARHGAP5
RSF1	CUL4A
PRKCQ	CASP3
TRAF4	IPO13
CUL3	HIST4H4
CUL1	PDE6D
SEM1	USP14
USP2	TRIM35
FOXE1	NOVA1
LYN	PRKCB
ATF2	TMX1
ACTL6A	ETF1
FBXW11	DHX9
MYLIP	UBE2D3
NOTCH1	RBPJ
NCOA6	EP300
LAMTOR3	VDAC3
SF3B1	YWHAG
SMARCB1	SMARCA5
AP1M1	BRCA1
SRF	GTF2I
HSPB1	UGDH
HDAC1	ACADM
EIF6	IMPA1
COPS5	RBM14
NSD1	NR2F2
COPS5	SMAD4
ARRB2	PTBP1
ZFP36	NCL
SIAH2	PIAS3
CALM1	UBR5
GAB1	PDGFRB
UCHL5	PNP
CALM1	MYCBP2
PCNA	EGFR
CUL3	CPSF1
TARBP2	TGIF2
ATXN7L3	USP22
SRC	GRB10
RCC1	TP53
MYH9	RBPMS
UBR5	UBE2D2
GRK2	EGFR
CDK6	CELF1
DOT1L	NIN
SORBS3	AKT1
CREB1	VIM
PPP1CA	HSPA4
BRD4	RFC3
8-Mar	TFRC
NME2	RPS19
NUDT21	SRSF6
HSP90AB1	TRADD
TRRAP	MED17
VCP	AR
CSNK2A1	PSIP1
SMAD3	SMAD2
SIRT7	ELP1
TAOK2	MAP3K7
KRT1	NUP62
PCNA	GADD45A
USP20	ZFYVE26
PAWR	HSPA5
CUL3	SSBP1
FAF1	BTRC
HNRNPF	SNRPF
GRB2	HNRNPK
PAXIP1	SRSF10
PPT1	PRDX2
MAPK8	AKT1
FN1	RBBP4
GOPC	TGFBR2
NHLRC1	NHLRC1
CDK5	PTK2
PRMT5	YWHAG
MCC	PNP
POLE3	POLD1
IL16	IL16
EED	HIST4H4
VCAM1	SCRIB
PRPF19	VTN
RND1	ARHGAP35
RYBP	FADD
PHB	ACTN1
DR1	KAT2A
BMI1	MYBBP1A
PPP1CB	BRCA1
NEDD4	UBE2M
MYC	RELA
NCOA6	SRF
SOCS3	REL
ZDHHC17	RBM5
CUL1	EEF1G
CFTR	DNAJB1
CASP8	PARP1
TAF5L	TAF7
PRKDC	THOC6
MALT1	MALT1
YWHAE	ATP5F1A
EXOSC4	EXOSC5
UBE2D3	RNF111
HIPK3	TGFB1I1
HDAC1	POU2F1
RPS15A	DDX39B
TBK1	HSP90AB1
RPA1	TUBB
MTPAP	MTPAP
TCF4	LYL1
SRSF6	TRA2B
DDX1	HNRNPM
LGR4	SF3B1
MAPK1	CENPE
CDK14	CCNY
CASP3	ARHGDIA
OBSL1	PLEC
UBASH3A	AIFM1
TP53	AIFM2
YES1	TRIM5
ATXN1	ETV4
MYH11	STAT1
HRAS	RASGRF1
PCNA	ARHGDIA
ID2	PRMT6
CFLAR	CASP3
H2AFX	MSN
HDAC5	EMD
CYLD	TRPA1
RELA	PIAS4
CALR	NKX2-1
TERF2	CHAMP1
HSPA1A	ACTN4
NPM1	PPP2CA
TRIM23	LSS
ATR	CLK2
ELAVL1	PJA2
RAPGEF2	MESD
PRKD1	TLR5
COTL1	PINX1
CASP7	SAT1
ERCC6	MDM2
BAIAP2L1	EPS8
PTPN11	SHC1
CFL1	PRKD1
UBE2A	UBE2L3
PSME1	USP5
RNF216	UBE2L3
STX3	GOSR1
TERF2	DST
