protein1	protein2
MOV10	RAB5A
RACGAP1	MAP3K10
PPP3CB	TFEB
CSF2	SYNCRIP
HNRNPF	KMT2B
PTEN	RPS26
EXOSC5	KCTD13
SNRPF	LSM10
STK17B	APP
SIRT7	PES1
SKP2	CDC34
SRRT	TRA2B
MCM2	CHORDC1
LUC7L3	THOC1
RBM15B	USP11
HSP90AA1	CDK4
IKBKG	ARHGDIA
ELAVL1	VPS72
CDC42EP4	SEPTIN9
GNAI2	CCDC88A
HSPA8	HSPH1
SYNCRIP	SRSF10
COPS5	PABPC1
PEA15	FADD
HCK	RBPMS
RAPGEF2	HIST2H4B
MOV10	PTPN18
ING1	TP53
BAG3	GLRX2
PPP3CA	RXRB
SRRT	SRSF6
PRKCB	CDK1
ATG101	FOXO3
XPO1	RUVBL2
BLM	UBE2I
HSPB1	OBSL1
MAPK1	SNTA1
AKT1	NEDD4L
AGO1	EIF2B4
MAP2K3	MAPK8IP1
HNRNPU	IKBKG
MCM2	MAP3K1
APOA2	DGAT1
NSD1	NR2F6
HDAC2	HDAC10
MYLIP	UBE2N
VAPA	PHB
YWHAB	STK3
MCF2L	RPS6
TADA2A	KAT2A
FOS	APP
STK4	VAPA
KIFC3	DCTN2
TERF1	DBNL
HECTD3	MALT1
NPM1	PRPF6
EGFR	SYK
CD27	C1GALT1
PIAS2	PIAS2
TERF1	PPM1G
MORC3	RNF216
MCC	SLU7
NKX3-1	TLE4
DDX39B	PABPC1
ADAM15	YES1
RAB8A	SNCA
DVL2	SQSTM1
AKT1	IKBKB
HDAC1	HSF1
IKBKE	MYD88
FBXW11	YAP1
CLK2	BRCA1
LTBR	VAPB
CASP8	TRADD
MCM2	HIST1H4D
USP7	DICER1
PRMT5	PHF5A
CHORDC1	FKBP4
TRIM28	POU5F1
TRAF2	TRAF3IP2
EZH2	API5
KAT2A	XRCC5
ARHGDIA	BID
RUVBL2	USP7
GTF2H1	ATF7IP
HSPA4	BCL2L11
TWNK	SUMO2
SGK3	APP
SDCBP	STX1A
TLE5	SRPK2
CDK2	HMGB1
PRDX1	ACOX1
ELAVL1	ITGB1
TADA2A	HNRNPF
MYBBP1A	ELAVL1
POLH	TUBB
XPO1	KIAA1217
HSPA1A	TNFRSF1B
EGFR	FHL2
SUZ12	TIMM50
SGF29	RABGAP1L
SAE1	AARS
ERN1	USP14
YWHAB	LSR
FN1	UPF1
TRAF2	CASP8AP2
RNH1	ANG
ATM	TRIM28
MTOR	PPP2R2A
PIK3R1	EPHA2
RELA	TGM2
MDM2	NDUFA12
ARRB1	HIST1H4F
PHGDH	ITSN1
VCP	SKP1
REL	SKP1
GIPC1	BCR
ZBTB16	MYLIP
MYH14	PAF1
PABPC1	SNRNP200
RHOQ	GOPC
EIF4A3	PSIP1
CEP57	FABP5
COPS5	HIST1H4H
PRKCD	VPS72
SF3B1	MOV10
VCAM1	MYH9
ELAVL1	TGFBR1
MCM7	UBE3A
DBNL	EIF2AK2
TLE5	RBPMS
ELAVL1	HNRNPF
NME1	CDK1
SUZ12	PLEC
